Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HW,AW
23/09/18,West Ham,Chelsea,0,0,D,0,0,D,M Dean,6,17,1,6,11,9,1,8,2,1,0,0,213.15,597.26
29/09/18,Arsenal,Watford,2,0,H,0,0,D,A Taylor,9,13,2,4,11,17,6,6,2,2,0,0,379.83,149.21
29/09/18,Chelsea,Liverpool,1,1,D,1,0,H,A Marriner,10,13,4,6,7,9,4,4,0,2,0,0,597.26,625.66
29/09/18,Everton,Fulham,3,0,H,0,0,D,R East,19,6,6,0,13,13,12,1,0,3,0,0,341.67,148.32
29/09/18,Huddersfield,Tottenham,0,2,A,0,2,A,C Pawson,9,10,5,6,17,16,3,0,2,2,0,0,97.69,348.77
29/09/18,Man City,Brighton,2,0,H,1,0,H,L Mason,28,4,8,1,4,10,10,3,0,3,0,0,866.16,137.66
29/09/18,Newcastle,Leicester,0,2,A,0,1,A,S Hooper,6,12,1,5,11,5,5,9,0,0,0,0,119.9,244.94
29/09/18,West Ham,Man United,3,1,H,2,0,H,M Oliver,8,9,3,4,12,12,4,9,0,1,0,0,213.15,697.54
29/09/18,Wolves,Southampton,2,0,H,0,0,D,S Attwell,14,17,6,6,11,7,8,6,3,1,0,0,111.91,222.92
30/09/18,Cardiff,Burnley,1,2,A,0,0,D,M Atkinson,19,3,5,2,11,15,10,2,1,3,0,0,52.4,111.9
1/10/2018,Bournemouth,Crystal Palace,2,1,H,1,0,H,M Dean,11,10,5,2,9,12,3,3,3,4,0,0,130.56,201.61
5/10/2018,Brighton,West Ham,1,0,H,1,0,H,K Friend,9,17,4,4,12,8,2,9,3,2,0,0,137.66,213.15
6/10/2018,Burnley,Huddersfield,1,1,D,1,0,H,C Kavanagh,6,19,3,2,8,11,1,10,2,2,0,0,111.9,97.69
6/10/2018,Crystal Palace,Wolves,0,1,A,0,0,D,M Oliver,11,7,4,2,11,13,6,3,3,4,0,0,201.61,111.91
6/10/2018,Leicester,Everton,1,2,A,1,1,D,A Marriner,8,17,2,8,10,11,2,10,2,1,1,0,244.94,341.67
6/10/2018,Man United,Newcastle,3,2,H,0,2,A,A Taylor,18,13,10,8,16,8,10,6,2,2,0,0,697.54,119.9
6/10/2018,Tottenham,Cardiff,1,0,H,1,0,H,M Dean,19,8,7,6,7,11,6,2,2,1,0,1,348.77,52.4
6/10/2018,Watford,Bournemouth,0,4,A,0,3,A,J Moss,14,10,2,7,11,9,10,7,3,1,1,0,149.21,130.56
7/10/2018,Fulham,Arsenal,1,5,A,1,1,D,P Tierney,21,9,4,7,11,12,4,2,2,0,0,0,148.32,379.83
7/10/2018,Liverpool,Man City,0,0,D,0,0,D,M Atkinson,7,6,2,2,10,10,2,6,1,3,0,0,625.66,866.16
7/10/2018,Southampton,Chelsea,0,3,A,0,1,A,C Pawson,15,21,6,6,13,11,4,12,6,0,0,0,222.92,597.26
20/10/18,Bournemouth,Southampton,0,0,D,0,0,D,L Probert,10,8,2,4,10,14,6,4,1,2,0,0,130.56,222.92
20/10/18,Cardiff,Fulham,4,2,H,2,2,D,K Friend,22,9,5,4,15,16,4,4,3,3,0,0,52.4,148.32
20/10/18,Chelsea,Man United,2,2,D,1,0,H,M Dean,21,7,6,4,9,17,5,3,2,5,0,0,597.26,697.54
20/10/18,Huddersfield,Liverpool,0,1,A,0,1,A,M Oliver,13,11,1,2,9,6,2,4,0,2,0,0,97.69,625.66
20/10/18,Man City,Burnley,5,0,H,1,0,H,J Moss,24,5,10,0,11,5,10,1,2,2,0,0,866.16,111.9
20/10/18,Newcastle,Brighton,0,1,A,0,1,A,A Marriner,27,8,6,2,13,17,10,2,0,2,0,0,119.9,137.66
20/10/18,West Ham,Tottenham,0,1,A,0,1,A,M Atkinson,13,10,4,2,8,10,10,6,3,0,0,0,213.15,348.77
20/10/18,Wolves,Watford,0,2,A,0,2,A,L Mason,10,9,1,3,23,13,8,2,3,1,0,0,111.91,149.21
21/10/18,Everton,Crystal Palace,2,0,H,0,0,D,A Taylor,20,7,4,3,13,17,10,5,2,1,0,0,341.67,201.61
22/10/18,Arsenal,Leicester,3,1,H,1,1,D,C Kavanagh,19,8,6,2,10,10,6,4,2,2,0,0,379.83,244.94
27/10/18,Brighton,Wolves,1,0,H,0,0,D,A Taylor,2,25,1,7,11,8,1,10,3,0,0,0,137.66,111.91
27/10/18,Fulham,Bournemouth,0,3,A,0,1,A,A Marriner,11,12,1,5,16,3,5,5,2,1,1,0,148.32,130.56
27/10/18,Leicester,West Ham,1,1,D,0,1,A,M Oliver,21,11,7,3,17,5,8,0,1,1,0,1,244.94,213.15
27/10/18,Liverpool,Cardiff,4,1,H,1,0,H,S Attwell,19,2,7,1,6,4,8,0,0,0,0,0,625.66,52.4
27/10/18,Southampton,Newcastle,0,0,D,0,0,D,C Kavanagh,22,6,4,0,9,12,7,2,0,1,0,0,222.92,119.9
27/10/18,Watford,Huddersfield,3,0,H,2,0,H,M Dean,12,13,6,7,9,13,3,3,1,2,0,0,149.21,97.69
28/10/18,Burnley,Chelsea,0,4,A,0,1,A,C Pawson,7,24,1,8,14,10,4,4,4,2,0,0,111.9,597.26
28/10/18,Crystal Palace,Arsenal,2,2,D,1,0,H,M Atkinson,16,7,3,2,10,16,6,4,1,2,0,0,201.61,379.83
28/10/18,Man United,Everton,2,1,H,1,0,H,J Moss,14,14,10,6,15,12,8,4,2,1,0,0,697.54,341.67
29/10/18,Tottenham,Man City,0,1,A,0,1,A,K Friend,4,13,1,6,13,13,3,6,2,2,0,0,348.77,866.16
3/11/2018,Arsenal,Liverpool,1,1,D,0,0,D,A Marriner,12,13,4,4,7,7,5,8,1,1,0,0,379.83,625.66
3/11/2018,Bournemouth,Man United,1,2,A,1,1,D,P Tierney,18,18,7,8,12,12,9,5,4,3,0,0,130.56,697.54
3/11/2018,Cardiff,Leicester,0,1,A,0,0,D,L Probert,11,13,2,5,13,12,6,12,2,2,0,0,52.4,244.94
3/11/2018,Everton,Brighton,3,1,H,1,1,D,D Coote,14,5,3,3,9,17,6,4,0,1,0,0,341.67,137.66
3/11/2018,Newcastle,Watford,1,0,H,0,0,D,C Pawson,10,16,2,1,12,11,8,9,1,5,0,0,119.9,149.21
3/11/2018,West Ham,Burnley,4,2,H,1,1,D,R East,22,6,10,3,7,9,10,4,1,4,0,0,213.15,111.9
3/11/2018,Wolves,Tottenham,2,3,A,0,2,A,M Dean,16,10,7,8,11,8,5,1,1,2,0,0,111.91,348.77
4/11/2018,Chelsea,Crystal Palace,3,1,H,1,0,H,M Oliver,15,7,6,2,6,13,4,2,0,1,0,0,597.26,201.61
4/11/2018,Man City,Southampton,6,1,H,4,1,H,L Mason,18,12,8,6,14,9,4,4,1,1,0,0,866.16,222.92
5/11/2018,Huddersfield,Fulham,1,0,H,1,0,H,A Taylor,10,7,2,1,11,8,5,4,1,2,0,0,97.69,148.32
10/11/2018,Cardiff,Brighton,2,1,H,1,1,D,M Atkinson,20,7,6,3,7,21,4,1,2,1,0,1,52.4,137.66
10/11/2018,Crystal Palace,Tottenham,0,1,A,0,0,D,J Moss,11,11,4,2,12,9,10,6,1,1,0,0,201.61,348.77
10/11/2018,Huddersfield,West Ham,1,1,D,1,0,H,C Kavanagh,15,12,7,5,9,8,5,6,1,1,0,0,97.69,213.15
10/11/2018,Leicester,Burnley,0,0,D,0,0,D,M Dean,22,6,5,1,13,10,12,1,2,0,0,0,244.94,111.9
10/11/2018,Newcastle,Bournemouth,2,1,H,2,1,H,L Probert,18,14,6,4,9,11,7,10,2,1,0,0,119.9,130.56
10/11/2018,Southampton,Watford,1,1,D,1,0,H,S Hooper,14,12,4,6,13,13,7,6,3,2,0,0,222.92,149.21
11/11/2018,Arsenal,Wolves,1,1,D,0,1,A,S Attwell,10,12,3,5,9,16,11,2,2,2,0,0,379.83,111.91
11/11/2018,Chelsea,Everton,0,0,D,0,0,D,K Friend,15,6,4,1,7,11,5,5,4,3,0,0,597.26,341.67
11/11/2018,Liverpool,Fulham,2,0,H,1,0,H,P Tierney,20,8,7,3,11,9,6,3,1,1,0,0,625.66,148.32
11/11/2018,Man City,Man United,3,1,H,1,0,H,A Taylor,17,6,5,1,12,12,5,1,1,1,0,0,866.16,697.54
24/11/18,Brighton,Leicester,1,1,D,1,0,H,C Kavanagh,14,8,3,3,10,7,6,1,3,1,0,1,137.66,244.94
24/11/18,Everton,Cardiff,1,0,H,0,0,D,P Tierney,16,7,8,1,12,13,7,3,0,3,0,0,341.67,52.4
24/11/18,Fulham,Southampton,3,2,H,2,1,H,M Oliver,10,19,5,8,10,6,2,5,2,3,0,0,148.32,222.92
24/11/18,Man United,Crystal Palace,0,0,D,0,0,D,L Mason,12,13,5,2,13,12,10,3,1,2,0,0,697.54,201.61
24/11/18,Tottenham,Chelsea,3,1,H,2,0,H,M Atkinson,18,13,9,2,19,12,4,4,0,3,0,0,348.77,597.26
